customer_id,total_sales,order_count,quantity_sold,gender,age,city,customer_match
989,5506900,10,51,여성,43,수원,both
477,5082300,11,53,여성,36,수원,both
754,5059900,10,37,남성,44,서울,both
772,4884800,13,52,남성,34,서울,both
1019,4869200,9,52,여성,40,인천,both
1137,4829700,10,54,여성,28,부산,both
1070,4618600,8,47,여성,27,수원,both
243,4567000,9,41,여성,48,인천,both
906,4551300,12,43,남성,25,서울,both
2,4537900,8,47,여성,27,고양,both
920,4478100,10,44,남성,25,서울,both
296,4407000,10,55,남성,37,서울,both
297,4292300,14,59,남성,42,수원,both
1193,4276800,10,44,남성,30,수원,both
85,4270800,9,35,남성,38,인천,both
737,4254400,9,53,남성,31,인천,both
159,4252300,11,46,여성,34,인천,both
456,4212600,11,43,여성,33,성남,both
115,4194400,7,37,남성,38,부산,both
955,4177100,8,34,여성,30,서울,both
206,4176400,7,33,남성,41,부산,both
786,4093200,10,53,남성,44,서울,both
605,4059100,11,48,남성,36,서울,both
612,4023700,7,34,남성,31,용인,both
1131,4008200,8,47,남성,38,광주,both
360,4003200,7,35,남성,30,성남,both
138,3948700,12,45,여성,30,서울,both
1146,3901000,8,33,여성,41,서울,both
42,3881100,7,46,남성,37,창원,both
1007,3846100,10,37,여성,34,서울,both
336,3835900,9,43,여성,37,광주,both
441,3829700,11,39,남성,34,광주,both
895,3750600,8,43,여성,47,서울,both
1042,3729100,10,43,여성,44,인천,both
983,3697900,6,26,여성,29,창원,both
1183,3676800,11,47,여성,30,인천,both
591,3657900,9,37,남성,30,서울,both
337,3642100,8,34,여성,41,수원,both
14,3636800,7,34,남성,47,성남,both
997,3631000,8,34,여성,28,부산,both
143,3630000,13,47,남성,26,부산,both
733,3602000,11,44,여성,31,서울,both
531,3584800,5,23,남성,20,광주,both
89,3581200,9,49,여성,37,서울,both
73,3559100,9,43,여성,44,인천,both
16,3534200,8,24,여성,32,성남,both
105,3509900,13,54,남성,31,성남,both
402,3506100,6,29,여성,28,대전,both
88,3468200,9,41,남성,23,고양,both
732,3449100,10,38,여성,38,서울,both
116,3438100,9,33,남성,38,서울,both
190,3428500,6,36,남성,36,대전,both
553,3420700,8,36,여성,30,서울,both
807,3415100,7,37,남성,37,인천,both
334,3374800,11,43,여성,27,수원,both
1185,3366900,8,31,남성,39,부산,both
704,3361200,9,46,여성,29,부산,both
290,3340600,6,37,여성,46,서울,both
936,3337300,12,48,여성,28,서울,both
294,3327500,7,33,여성,20,성남,both
871,3317800,9,38,남성,35,수원,both
198,3309100,7,36,여성,30,인천,both
910,3279700,12,47,남성,40,서울,both
1058,3275000,8,32,남성,36,창원,both
1080,3260600,8,40,남성,31,인천,both
712,3202000,9,26,남성,39,인천,both
611,3201800,7,38,남성,28,부산,both
114,3187700,8,41,남성,33,광주,both
1029,3185900,10,37,여성,42,서울,both
26,3161200,6,36,남성,46,부산,both
